anchor_id,category,paper_short_name,full_citation,doi_or_url,source_status,material,wavelength_nm,pulse_duration_fs,rep_rate_Hz,pulse_energy_uJ,average_power_W,scan_speed_mm_s,objective_NA,beam_type,writing_mode,sample_geometry,observed_feature,observed_feature_width_um,observed_feature_depth_um,observed_feature_length_um,observed_index_change,observed_etch_response,reported_damage_or_cracking,model_used,equations_relevant,parameters_reported,parameters_borrowable,parameters_prior_only,parameters_must_calibrate,digital_twin_layer,model_status_allowed,claim_boundary,notes
A015,nonlinear_propagation_filamentation,Couairon_filamentation_review,Couairon and Mysyrowicz — ultrafast filamentation review (Physics Reports approx. 2007),not_reported,needs_literature_lookup,various,800,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_specified,not_specified,bulk,filamentation channel,50–200,not_reported,not_reported,not_reported,not_reported,not_reported,nonlinear Schrödinger equation; plasma model,multiphoton_absorption_proxy; carrier_rate_proxy; thermal_diffusion_length,P_crit formula; n2 ranges; plasma density equations; recombination time scales,Critical power formula P_crit = λ²/(2π n n2) — general formula,All specific n2 and plasma parameters (material dependent),Cr:ZnSe n2 and plasma parameters for our wavelength,engine1,fluence_threshold_proxy,Filamentation framework anchors the nonlinear proxy hook — all material parameters must be replaced with ZnSe-specific values,Couairon A and Mysyrowicz A. Phys. Rep. 441 2007 — landmark review
A016,nonlinear_propagation_filamentation,Berge_znse_nonlinear,Bergé et al. or similar — nonlinear propagation in mid-IR transparent media including ZnSe (approx. 2015–2020),not_reported,needs_literature_lookup,ZnSe; CrZnSe,1030–2000,100–500,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,propagation_study,bulk,nonlinear propagation; self-focusing; filament,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,NLSE; plasma model,multiphoton_absorption_proxy; carrier_rate_proxy,n2 of ZnSe ~1-4 × 10⁻¹⁷ m²/W at 1–2 µm; K for multi-photon ~ 2–4 photons at 1030 nm,n2 order of magnitude (~10⁻¹⁷ m²/W) for P_crit check; K photon order estimate,n2 exact value (varies with wavelength and sample); plasma parameters,Nonlinear coefficients for quantitative modelling require measurement or reliable ZnSe-specific literature,engine1,fluence_threshold_proxy,ZnSe-family nonlinear parameters — use n2 to check P vs P_crit only; not for quantitative filamentation model,Placeholder — verify ZnSe n2 at 1030 nm from ZnSe-specific nonlinear optics literature
A017,surface_ablation_modelling,Liu_1982_spot_method,Liu — Simple technique for measurements of pulsed Gaussian-beam spot sizes (Opt. Lett. 1982),not_reported,needs_literature_lookup,various,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,single_shot_surface,surface,ablation crater,variable,not_reported,not_reported,not_reported,not_reported,not_reported,log D² vs log E threshold method,fluence_scaling; local_threshold_ratio,Liu method: D² = 2w₀² ln(E/E_th) — spot size and threshold from crater diameter vs energy,Liu method formula — universal analytical technique,None (method is analytical),Surface ablation threshold F_th_surface — must be measured for ZnSe,engine2,fluence_threshold_proxy,Liu method gives F_th_surface — this is NOT the internal modification threshold,Liu J M. Opt. Lett. 7 196 1982 — confirm exact citation
A018,surface_ablation_modelling,Stuart_dielectric_ablation,Stuart et al. — laser-induced damage in dielectrics under short and ultrashort pulses (approx. 1996),not_reported,needs_literature_lookup,fused_silica; CaF2,800,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,single_shot_surface,surface,surface_ablation,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,photoionisation; avalanche ionisation model,multiphoton_absorption_proxy; carrier_rate_proxy; local_threshold_ratio,Ablation threshold scaling with pulse duration; avalanche vs multiphoton regimes,Pulse duration scaling concept (τ < 1 ps avalanche diminishes; threshold approaches intrinsic),Specific F_th values (fused silica / CaF2 — do NOT transfer),ZnSe surface ablation threshold must be measured for our conditions,engine2,fluence_threshold_proxy,Dielectric ablation model anchors the ionisation proxy — material parameters must be ZnSe-specific,Stuart B C et al. Phys. Rev. B 1996 — verify exact citation
A019,refractive_index_reconstruction,Bhardwaj_quantitative_phase,Bhardwaj or similar — quantitative phase microscopy for index change reconstruction (approx. 2005–2015),not_reported,needs_literature_lookup,borosilicate_glass; fused_silica,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,scan_writing,bulk,smooth waveguide,not_reported,not_reported,not_reported,5e-4 – 5e-3,not_reported,not_reported,QPM / TIE / interferometry,refractive_index_reconstruction,Δn reconstruction method via QPM; Δn ~10⁻³–10⁻² achievable in glass,QPM methodology concept; measurement of Δn,Δn values (glass only),ZnSe Δn — must measure; unknown sign and magnitude in our conditions,engine3,uncalibrated_material_response_proxy,QPM methodology applicable; glass Δn values are not transferable to ZnSe,Placeholder — verify method paper; also check Arriola et al. for ZnSe-family QPM
A020,refractive_index_reconstruction,Arriola_znse_qpm,Arriola et al. — waveguide characterisation including QPM or DIC in ZnSe-family (approx. 2014–2020),not_reported,needs_literature_lookup,ZnSe; ZnS,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,scan_writing,bulk,waveguide channel,not_reported,not_reported,not_reported,1e-4 – 5e-3,not_reported,not_reported,QPM or interferometry,refractive_index_reconstruction,ZnSe Δn range ~10⁻⁴–5×10⁻³; measurement methodology applicable,ZnSe Δn order of magnitude prior; measurement methodology,All specific values (different system),ZnSe Δn for our laser + sample combination,engine3,uncalibrated_material_response_proxy,Best ZnSe-family prior for Δn — still requires local measurement,Placeholder — verify Arriola / other group ZnSe waveguide papers
A021,waveguide_mode_modelling,Marcuse_theory_modes,Marcuse — Theory of Dielectric Optical Waveguides (textbook),not_reported,confirmed_textbook,step_index_waveguide,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_specified,not_specified,not_specified,step-index waveguide mode,variable,not_reported,not_reported,not_reported,not_reported,not_reported,analytical mode theory,waveguide_mode_solver_anchor,V-number; cutoff condition; mode size vs Δn and core radius — analytical expressions,Analytical V-number formula; mode cutoff condition; NA_guide = sqrt(2n_core Δn),None — analytical results,Δn and core radius must be measured before mode predictions are reliable,engine3,uncalibrated_material_response_proxy,Mode solver anchor — analytical formulas apply once Δn and core geometry are known,Marcuse D. Academic Press 1974 / 1991 — standard reference
A022,waveguide_mode_modelling,FD_BPM_mode_solver,Finite difference beam propagation method — standard numerical mode solving for arbitrary Δn profiles,not_reported,confirmed_method,arbitrary,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_specified,not_specified,not_specified,arbitrary waveguide mode,variable,not_reported,not_reported,not_reported,not_reported,not_reported,FD-BPM,waveguide_mode_solver_anchor,Mode size; propagation constant; loss for arbitrary Δn cross-section,Methodology applicable once Δn profile is measured or modelled,None — numerical method,Δn profile must be supplied (from measurement or Engine 3 output),engine3,uncalibrated_material_response_proxy,Mode solving methodology — applicable once Δn profile is known,Standard numerical method — various implementations available
A023,microscope_or_etch_observable,Gross_DIC_waveguide,Gross et al. or similar — DIC microscopy of laser-written waveguides in mid-IR materials (approx. 2012–2020),not_reported,needs_literature_lookup,ZnSe; CrZnSe,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,not_reported,Gaussian,scan_writing,bulk,smooth waveguide channel,5–30,not_reported,not_reported,not_reported,not_reported,not_reported,DIC microscopy; backscatter SEM,microscope_projection_proxy,DIC contrast visible above Δn ~10⁻⁴; SEM shows void and crack morphology,DIC visibility threshold concept,DIC contrast vs Δn (material and microscope NA dependent),ZnSe DIC contrast vs Δn relationship for our microscope,engine3,simulated_microscopy_proxy,Observable concept applies — contrast calibration needed for this specific microscope and material,Placeholder — verify DIC/phase contrast methodology papers for mid-IR waveguide materials
A024,microscope_or_etch_observable,HF_etch_fused_silica_method,Various — HF etch enhancement of Bessel-modified fused silica for microfluidics and 3D structures (approx. 2012–2020),not_reported,needs_literature_lookup,fused_silica,1030,100–500,not_reported,not_reported,not_reported,not_reported,0.3–0.5,Bessel,single_shot,bulk,etch-enhanced channel; microfluidic structure,1–10,not_reported,50–500,not_reported,10–100x etch selectivity (HF),not_reported,etch selectivity model,accumulated_dose; local_threshold_ratio,HF etch selectivity 10–100× in laser-modified fused silica; depends on laser parameters,Etch concept (selectivity exists in oxide glass); measurement methodology concept,All parameter values (HF/fused silica — do NOT transfer to ZnSe),ZnSe etch chemistry and selectivity must be characterised independently,engine3,uncalibrated_material_response_proxy,Fused silica etch data — strictly NOT transferable to ZnSe etch response,ZnSe etch chemistry is very different from fused silica; KOH or proprietary etchants may be needed
