figure_id,png_path,pdf_path,case_ids,source,native_grid_n,native_dx_m,metrics_computed_on_native_arrays,render_method,normalisation_policy,crop_rule,display_interpolation,display_interpolation_used_for_metrics,paired_colour_crop_rule_id,render_downsampling
V3_xz_yz,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\v3_xz_yz_and_power.png,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\v3_xz_yz_and_power.pdf,V3,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native centre samples over z,one common global maximum across x-z and y-z; native integrated power,matched +/-0.7 mm,bicubic display only,False,V3_xz_yz_common,none
V3_profiles,outputs\figures\phase2b_visual_diagnostics\04_profiles\v3_native_profiles.png,outputs\figures\phase2b_visual_diagnostics\04_profiles\v3_native_profiles.pdf,V3,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,native one-dimensional reductions,profile maxima; horizontal and vertical lines share one maximum,line plot +/-0.7 mm,none,False,,none
H1_REALISTIC_xy_bundle,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\h1_realistic_xy_landmarks_and_sas_focus.png,outputs\figures\phase2b_visual_diagnostics\02_xy_planes\h1_realistic_xy_landmarks_and_sas_focus.pdf,H1_REALISTIC,MODE 2Y realistic continuous-versus-averaged,1024,9.765625e-06,True,native fixed-grid landmarks plus SAS z60 physical resampling,independent plane peak for morphology; fixed 0..1 colour scale,native focus halfwidth 0.65 mm; SAS <=0.76 mm,bicubic native; lanczos SAS display only,False,,none
H1_REALISTIC_xz_yz,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\h1_realistic_xz_yz_and_power.png,outputs\figures\phase2b_visual_diagnostics\03_xz_yz_slices\h1_realistic_xz_yz_and_power.pdf,H1_REALISTIC,MODE 2Y realistic continuous-versus-averaged,1024,9.765625e-06,True,native centre samples over z,one common global maximum across x-z and y-z; native integrated power,matched +/-0.65 mm,bicubic display only,False,H1_REALISTIC_xz_yz_common,none
H1_REALISTIC_profiles,outputs\figures\phase2b_visual_diagnostics\04_profiles\h1_realistic_native_profiles.png,outputs\figures\phase2b_visual_diagnostics\04_profiles\h1_realistic_native_profiles.pdf,H1_REALISTIC,MODE 2Y realistic continuous-versus-averaged,1024,9.765625e-06,True,native one-dimensional reductions,profile maxima; horizontal and vertical lines share one maximum,line plot +/-0.65 mm,none,False,,none
canonical_cross_case_hero,outputs\figures\phase2b_visual_diagnostics\01_case_inputs\canonical_beam_family_sas_hero.png,outputs\figures\phase2b_visual_diagnostics\01_case_inputs\canonical_beam_family_sas_hero.pdf,G0;B0;V1;V3;H1_REALISTIC,PHASE 2A scalar chain plus accepted realistic H1 route,512 scalar; 1024 H1,19.53125e-6 scalar; 9.765625e-6 H1,True,SAS physical focus resampling at z60,independent peak normalisation with fixed 0..1 scale,common +/-0.74 mm,lanczos display only,False,cross_case_z60_common_crop,none
B0_3d_intensity,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\b0_3d_intensity_surface.png,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\b0_3d_intensity_surface.pdf,B0,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,scalable angular spectrum z60 intensity surface; surface dx 3.087 um,z60 intensity divided by its native/SAS plane maximum; height and colour encode the same intensity,ring-based focus crop +/-0.17 mm,none,False,,surface mesh native/SAS index stride 1
V1_3d_intensity,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\v1_3d_intensity_surface.png,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\v1_3d_intensity_surface.pdf,V1,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,scalable angular spectrum z60 intensity surface; surface dx 3.087 um,z60 intensity divided by its native/SAS plane maximum; height and colour encode the same intensity,ring-based focus crop +/-0.2171 mm,none,False,,surface mesh native/SAS index stride 1
V3_3d_intensity,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\v3_3d_intensity_surface.png,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\v3_3d_intensity_surface.pdf,V3,PHASE 2A realistic_fixed_bench_route,512,1.953125e-05,True,scalable angular spectrum z60 intensity surface; surface dx 3.087 um,z60 intensity divided by its native/SAS plane maximum; height and colour encode the same intensity,ring-based focus crop +/-0.2171 mm,none,False,,surface mesh native/SAS index stride 1
H1_REALISTIC_3d_intensity,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\h1_realistic_3d_intensity_surface.png,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\h1_realistic_3d_intensity_surface.pdf,H1_REALISTIC,MODE 2Y realistic continuous-versus-averaged,1536,6.510416666666667e-06,True,MODE 2Z-HN N=1536 endpoint with SAS z60 physical resampling; surface dx 3.087 um,z60 intensity divided by its native/SAS plane maximum; height and colour encode the same intensity,ring-based focus crop +/-0.2512 mm,none,False,,surface mesh native/SAS index stride 1
H1_CONTINUOUS_3d_intensity,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\h1_continuous_3d_intensity_surface.png,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\h1_continuous_3d_intensity_surface.pdf,H1_CONTINUOUS,MODE 2Y realistic continuous-versus-averaged,1536,6.510416666666667e-06,True,MODE 2Z-HN N=1536 endpoint with SAS z60 physical resampling; surface dx 3.087 um,z60 intensity divided by its native/SAS plane maximum; height and colour encode the same intensity,ring-based focus crop +/-0.2512 mm,none,False,,surface mesh native/SAS index stride 1
H1_AVERAGED_3d_intensity,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\h1_averaged_3d_intensity_surface.png,outputs\figures\phase2b_visual_diagnostics\05_3d_maps\h1_averaged_3d_intensity_surface.pdf,H1_AVERAGED,MODE 2Y realistic continuous-versus-averaged,1536,6.510416666666667e-06,True,MODE 2Z-HN N=1536 endpoint with SAS z60 physical resampling; surface dx 3.087 um,z60 intensity divided by its native/SAS plane maximum; height and colour encode the same intensity,ring-based focus crop +/-0.2512 mm,none,False,,surface mesh native/SAS index stride 1
H1_continuous_averaged_early_mid_late,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_continuous_vs_averaged_early_z60_late.png,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_continuous_vs_averaged_early_z60_late.pdf,H1_CONTINUOUS;H1_AVERAGED,MODE 2Y accepted realistic sequential common-4F route,1024,9.765625e-06,True,native fixed-grid vector ASM planes,equal power per plane; one common peak per pair; one signed difference limit across z,common +/-0.65 mm,bicubic display only,False,hex_cont_avg_all_z_common,none
H1_continuous_averaged_profiles,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_continuous_vs_averaged_native_profiles.png,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_continuous_vs_averaged_native_profiles.pdf,H1_CONTINUOUS;H1_AVERAGED,MODE 2Y native N=1024 metrics,1024,9.765625e-06,True,native one-dimensional reductions,each profile divided by its native maximum; metrics unnormalised,radial plot through 2.2x V0 ring radius,none,False,hex_cont_avg_profiles,none
H1_highn_continuous_averaged_z60,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_highn_sas_continuous_vs_averaged_z60.png,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_highn_sas_continuous_vs_averaged_z60.pdf,H1_CONTINUOUS;H1_AVERAGED,MODE 2Z-HN endpoint machinery,1536,6.510416666666667e-06,True,scalable angular spectrum physical focus resampling,equal power then one common pair maximum; signed common-limit difference,common +/-0.76 mm,lanczos display only,False,hex_highn_z60_common,none
H1_cross_route_realism_correction,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_cross_route_realism_and_correction.png,outputs\figures\phase2b_visual_diagnostics\06_hex_comparisons\h1_cross_route_realism_and_correction.pdf,target_analytic;ideal_sequential;realistic_sequential;mild_realism;degraded_axicon_0p5mm;corrected_axicon_0p5mm,accepted MODE 2W-FIX sequential route and MODE 2S perturbation/correction machinery,1024,9.765625e-06,True,SAS physical focus resampling at z60,equal power; independent 0..1 morphology view; one signed difference limit,common +/-0.76 mm,lanczos display only,False,hex_cross_route_common,none
phase2a_energy_diagnostics,outputs\figures\phase2b_visual_diagnostics\07_energy_ledgers\phase2a_energy_and_throughput_diagnostics.png,outputs\figures\phase2b_visual_diagnostics\07_energy_ledgers\phase2a_energy_and_throughput_diagnostics.pdf,G0;B0;V1;V3;H1,outputs/validation/phase2a canonical_power_ledgers.csv and slm_model_comparison.csv,stored Phase 2A ledgers; native propagation arrays,case dependent,True,direct table plotting plus native plane-power integration,ledger fraction of input; P(z)/P(0); explicit SLM fractions,not applicable,none,False,,none
